Industry,Year,Date Joined,Valuation ($B)
Artificial Intelligence,2012,12/17/12,2
Artificial Intelligence,2015,10/27/15,2.3
Artificial Intelligence,2016,12/4/16,1
Artificial Intelligence,2017,4/14/17,1.6
Artificial Intelligence,2017,7/4/17,140
Artificial Intelligence,2017,9/26/17,3.5
Artificial Intelligence,2017,10/31/17,4
Artificial Intelligence,2018,2/7/18,6.8
Artificial Intelligence,2018,2/20/18,1.03
Artificial Intelligence,2018,4/6/18,4.1
Artificial Intelligence,2018,4/16/18,1.35
Artificial Intelligence,2018,5/17/18,2
Artificial Intelligence,2018,7/19/18,1.31
Artificial Intelligence,2018,8/3/18,2.17
Artificial Intelligence,2018,10/17/18,1
Artificial Intelligence,2018,11/7/18,8.5
Artificial Intelligence,2018,12/18/18,2.77
Artificial Intelligence,2018,12/19/18,2
Artificial Intelligence,2019,1/22/19,1
Artificial Intelligence,2019,2/27/19,5
Artificial Intelligence,2019,3/22/19,1
Artificial Intelligence,2019,3/27/19,1.19
Artificial Intelligence,2019,4/12/19,4.6
Artificial Intelligence,2019,5/8/19,7.3
Artificial Intelligence,2019,6/18/19,1
Artificial Intelligence,2019,7/17/19,5
Artificial Intelligence,2019,7/22/19,4.92
Artificial Intelligence,2019,7/29/19,6.3
Artificial Intelligence,2019,7/31/19,1.8
Artificial Intelligence,2019,10/30/19,12.59
Artificial Intelligence,2019,11/9/19,4.6
Artificial Intelligence,2020,1/8/20,2.18
Artificial Intelligence,2020,4/28/20,2.7
Artificial Intelligence,2020,12/8/20,7.25
Artificial Intelligence,2021,1/14/21,3.7
Artificial Intelligence,2021,2/17/21,1
Artificial Intelligence,2021,3/8/21,2.6
Artificial Intelligence,2021,3/24/21,1
Artificial Intelligence,2021,3/30/21,5.2
Artificial Intelligence,2021,4/13/21,1
Artificial Intelligence,2021,4/14/21,1
Artificial Intelligence,2021,4/21/21,2
Artificial Intelligence,2021,4/22/21,1
Artificial Intelligence,2021,4/29/21,2.7
Artificial Intelligence,2021,5/5/21,1
Artificial Intelligence,2021,5/8/21,1
Artificial Intelligence,2021,5/19/21,1.6
Artificial Intelligence,2021,6/5/21,1
Artificial Intelligence,2021,6/16/21,1
Artificial Intelligence,2021,6/24/21,1.2
Artificial Intelligence,2021,6/30/21,2.1
Artificial Intelligence,2021,7/5/21,1.2
Artificial Intelligence,2021,7/11/21,1.7
Artificial Intelligence,2021,7/12/21,1
Artificial Intelligence,2021,7/13/21,1
Artificial Intelligence,2021,8/6/21,2
Artificial Intelligence,2021,8/16/21,1.46
Artificial Intelligence,2021,8/24/21,1
Artificial Intelligence,2021,9/8/21,1
Artificial Intelligence,2021,9/16/21,1.15
Artificial Intelligence,2021,9/22/21,2
Artificial Intelligence,2021,9/23/21,2
Artificial Intelligence,2021,10/13/21,1
Artificial Intelligence,2021,10/26/21,1
Artificial Intelligence,2021,11/8/21,2
Artificial Intelligence,2021,11/18/21,1
Artificial Intelligence,2021,12/10/21,1
Artificial Intelligence,2021,12/15/21,1.3
Artificial Intelligence,2021,12/22/21,1
Artificial Intelligence,2022,1/2/22,1
Artificial Intelligence,2022,1/25/22,1.4
Artificial Intelligence,2022,1/26/22,1.5
Artificial Intelligence,2022,2/16/22,2.5
Artificial Intelligence,2022,2/23/22,2.2
Artificial Intelligence,2022,3/17/22,1.6
Artificial Intelligence,2022,3/21/22,1
Artificial Intelligence,2022,3/29/22,1.9
Artificial Intelligence,2022,5/24/22,1.6
Artificial Intelligence,2022,6/14/22,1.1
Artificial Intelligence,2022,6/15/22,1.7
Artificial Intelligence,2022,7/4/22,1.2
Artificial Intelligence,2022,9/5/22,3.5
Artificial Intelligence,2022,12/1/22,2.2
Auto & transportation,2014,10/27/14,7.5
Auto & transportation,2015,9/16/15,2
Auto & transportation,2016,5/24/16,1.5
Auto & transportation,2018,1/6/18,5
Auto & transportation,2018,1/17/18,1.6
Auto & transportation,2018,1/22/18,1.4
Auto & transportation,2018,2/4/18,3.35
Auto & transportation,2018,4/16/18,1.78
